#
# USGS NWISWeb site number list
#
# This file can be used to retrieve data from the
# USGS NWISWeb internet based retrieval system using
# the 'File of site Numbers' search criteria.
#
# This file can be edited, but the number of columns
# must be equal for each row, and the 'site_no' column
# must remain.
#
# The columns include:
#  agency_cd  -- Agency code.  If no value is found, 'USGS' is assumed
#  site_no    -- USGS site number
#  station_nm -- USGS site name. This column is include for viewing only,
#                                it is not used by the nwisweb system.
#
agency_cd	site_no	station_nm
USGS	01595010	DIFFICULT CREEK NEAR STEYER, MD
USGS	01595015	DIFFICULT CREEK AT POTOMAC RIVER NEAR STEYER, MD
USGS	01595135	WYMER RUN ABOVE STONY RIVER DAM LAKE, WV
USGS	01595140	WYMER RUN AT STONY RIVER DAM LAKE, WV
USGS	01595200	STONY RIVER NEAR MOUNT STORM, WV
USGS	01595201	STONY RIVER TRIB NEAR UNION SCHOOL NR MT STORM, WV
USGS	01595202	STONY RIVER TRIB MINE DRAINAGE NEAR MT STORM, WV
USGS	01595203	STONY RIVER TRIB AT UNION SCHOOL NEAR MT STORM, WV
USGS	01595275	ABRAM CREEK AT RTE 50 BRIDGE NEAR MOUNT STORM, WV
USGS	01595300	ABRAM CREEK AT OAKMONT, WV
USGS	01595800	NORTH BRANCH POTOMAC RIVER AT BARNUM, WV
USGS	01595900	PINEY SWAMP RUN AT HAMPSHIRE, WV
USGS	01596000	NORTH BRANCH POTOMAC RIVER AT BLOOMINGTON, MD
USGS	01599500	NEW CREEK NEAR KEYSER, WV
USGS	01599600	NEW CREEK AT KEYSER, WV
USGS	01600000	NORTH BRANCH POTOMAC RIVER AT PINTO, MD
USGS	01600001	NORTH BRANCH POTOMAC RIVER AT PINTO, MD #2
USGS	01604400	MILL CREEK AT BURLINGTON, WV
USGS	01604500	PATTERSON CREEK NEAR HEADSVILLE, WV
USGS	01605000	PATTERSON CR AT ALASKA, WV
USGS	01605005	LONG PASTURE RUN (MILL RACE) @ FORT ASHBY, WV
USGS	01605100	SB POTOMAC RIVER NEAR BLUE GRASS, VA
USGS	01605200	WEST STRAIT CREEK AT STP AT MONTEREY, VA
USGS	01605220	WEST STRAIT CREEK NEAR MONTEREY, VA
USGS	01605490	THORN CREEK NEAR MOATSTOWN, WV
USGS	01605500	SOUTH BRANCH POTOMAC RIVER AT FRANKLIN, WV
USGS	01605600	FRIENDS RUN NEAR FRANKLIN, WV
USGS	01605620	TROUT RUN NEAR FRANKLIN, WV
USGS	01605700	REEDS CREEK TRIBUTARY NEAR FRANKLIN, WV
USGS	01605800	DRY RUN NEAR CHERRY GROVE, WV
USGS	01605890	SENECA CREEK ABOVE SENECA FALLS, WV
USGS	01605900	SENECA CREEK NEAR ONEGO, WV
USGS	01605950	JORDAN RUN NEAR HOPEVILLE, WV
USGS	01606000	N F SOUTH BRANCH POTOMAC RIVER AT CABINS, WV
USGS	01606500	SOUTH BRANCH POTOMAC RIVER NEAR PETERSBURG, WV
USGS	01606600	SOUTH FORK LUNICE CREEK NEAR MAYSVILLE, WV
USGS	01606700	LUNICE CREEK NR PETERSBURG, WV
USGS	01606720	NORTH MILL CREEK NEAR PETERSBURG, WV
USGS	01606800	BRUSHY RUN NR PETERSBURG, WV
USGS	01607000	Big Spring Fork @ Masonville
USGS	01607200	MILL CREEK NR PETERSBURG, WV
USGS	01607500	S F SOUTH BRANCH POTOMAC RIVER AT BRANDYWINE, WV
USGS	01607510	HEAVENER RUN NEAR BRANDYWINE, WV
USGS	01608000	S F SOUTH BRANCH POTOMAC RIVER NR MOOREFIELD, WV
USGS	01608050	FORT RUN NEAR MOOREFIELD, WV
USGS	01608070	SOUTH BRANCH POTOMAC RIVER NEAR MOOREFIELD, WV
USGS	01608100	WILLIAMS HOLLOW NR MOOREFIELD, WV
USGS	01608150	MUDLICK RUN NEAR MOOREFIELD, WV
USGS	01608300	MILL RUN NEAR ROMNEY, WV
USGS	01608400	BUFFALO CREEK NEAR ROMNEY, WV
USGS	01608500	SOUTH BRANCH POTOMAC RIVER NEAR SPRINGFIELD, WV
USGS	01609650	LITTLE CACAPON RIVER AT FRENCHBURG, WV
USGS	01609700	LITTLE CACAPON R AT HIGGINSVILLE, WV
USGS	01609800	LITTLE CACAPON RIVER NEAR LEVELS, WV
USGS	01610185	KIMSEY RUN NEAR LOST RIVER, WV
USGS	01610200	LOST RIVER AT MCCAULEY NEAR BAKER, WV
USGS	01610250	TROUT RUN NEAR WARDENSVILLE, WV
USGS	01610300	CACAPON RIVER ABOVE WARDENSVILLE, WV
USGS	01610400	WAITES RUN NEAR WARDENSVILLE, WV
USGS	01610500	CACAPON RIVER AT YELLOW SPRING, WV
USGS	01610990	DILLONS RUN AT CAPON BRIDGE, WV
USGS	01611000	CACAPON RIVER AT CACAPON BRIDGE, WV
USGS	01611020	Cacapon River nr. Bloomery, WV
USGS	01611120	SPERRY RUN AT RIO, WV
USGS	01611130	TEAR COAT CREEK NEAR RIO, WV
USGS	01611150	TEARCOAT CREEK TRIB NR AUGUSTA, WV
USGS	01611200	NORTH RIVER AT NO. RIVER MILLS, WV
USGS	01611205	MAPLE RUN NEAR SLANESVILLE, WV
USGS	01611500	CACAPON RIVER NEAR GREAT CACAPON, WV
USGS	01611600	CACAPON RIVER AT GREAT CACAPON, WV
USGS	01613030	WARM SPRINGS RUN NEAR BERKELEY SPRINGS, WV
USGS	01613200	M F SLEEPY CR AT STATE LINE NR SHOCKEYSVILLE, VA
USGS	01613400	SLEEPY CREEK NR BERKELEY SPRINGS, WV
USGS	01613570	BACK CREEK AT GAINESBORO, VA
USGS	01613590	ISAAC CREEK NEAR GAINESBORO, VA
USGS	01613900	HOGUE CREEK NEAR HAYFIELD, VA
USGS	01614000	BACK CREEK NEAR JONES SPRINGS, WV
USGS	01614010	HARLAN RUN NEAR SPRING MILLS, WV
USGS	01614043	HARLAN RUN NEAR HEDGESVILLE, WV
USGS	01614805	OPEQUON CREEK AT RT 622 AT OPEQUON, VA
USGS	01614820	OPEQUON CREEK AT OLD RT 628 NEAR OPEQUON, VA
USGS	01614830	OPEQUON CREEK NEAR STEPHENS CITY, VA
USGS	01614880	OPEQUON CREEK AT ROUTE 723 NEAR BOYCE, VA
USGS	01615000	OPEQUON CREEK NEAR BERRYVILLE, VA
USGS	01615500	ABRAMS CREEK AT WINCHESTER, VA
USGS	01615518	TOWN RUN TRIB FROM SHAWNEE SPG AT WINCHESTER, VA
USGS	01615520	TOWN RUN AT WINCHESTER, VA
USGS	01616000	ABRAMS CREEK NEAR WINCHESTER, VA
USGS	01616074	REDBUD RUN ABOVE FAY SPRING NEAR WINCHESTER, VA
USGS	01616100	DRY MARSH RUN NEAR BERRYVILLE, VA
USGS	01616150	LICK RUN AT JORDAN SPRINGS NEAR STEPHENSON, VA
USGS	01616188	HOT RUN TRIBUTARY AT ROUTE 11 AT STEPHENSON, VA
USGS	01616190	HOT RUN ABOVE CLEARBROOK RUN AT STEPHENSON, VA
USGS	01616200	CLEARBROOK RUN AB FREY STP AT CLEAR BROOK, VA
USGS	01616300	OPEQUON CREEK AT RT 667 NEAR BRUCETOWN, VA
USGS	01616392	MILL CK AT LEE WHITACORE FARM NR INWOOD, WV
USGS	01616400	MILL CREEK AT BUNKER HILL, WV
USGS	01616418	Middle Creek at Darkesville, WV
USGS	01616425	HOPEWELL RUN AT LEETOWN, WV
USGS	01616500	OPEQUON CREEK NEAR MARTINSBURG, WV
USGS	01616854	TUSCARORA CK AT HAMMOND FARM NR MARTINSBURG, WV
USGS	01617000	TUSCARORA CREEK ABOVE MARTINSBURG, WV
USGS	01617010	TUSCARORA CREEK AT MARTINSBURG, WV
USGS	01618000	POTOMAC RIVER AT SHEPHERDSTOWN, WV
USGS	01618100	ROCKYMARSH RUN AT SCRABBLE, WV
USGS	01618200	RATTLESNAKE RUN NEAR SHEPHERDSTOWN, WV
USGS	01620500	NORTH RIVER NEAR STOKESVILLE, VA
USGS	01620601	SKIDMORE FORK AT MOUTH NEAR STOKESVILLE, VA
USGS	01620625	LITTLE RIVER AT RT 718 NEAR STOKESVILLE, VA
USGS	01620671	THORNY BRANCH NEAR MOUNT SOLON, VA
USGS	01620690	NORTH RIVER AT RT 727 NR BRIDGEWATER, VA
USGS	01620800	BRIERY BRANCH TRIB NR SPRING CREEK, VA
USGS	01620812	UNION SPRINGS RUN BELOW DAM NR RAWLEY SPRINGS, VA
USGS	01620815	BEAVER CREEK ABOVE TRIBUTARY NEAR CLOVER HILL, VA
USGS	01620820	BEAVER CREEK TRIB AT RT 742 NEAR CLOVER HILL, VA
USGS	01620821	BEAVER CREEK NEAR OTTOBINE, VA
USGS	01620830	BRIERY BRANCH AT RT 748 AT SPRING CREEK, VA
USGS	01620836	MOSSY CREEK AT RT 731 AT MT SOLON, VA
USGS	01620837	BIG SPRING AT RT 731 AT MT SOLON, VA
USGS	01620842	MOSSY CREEK AT RT 613 NEAR MOUNT SOLON, VA
USGS	0162084652	MOSSY CREEK NEAR BRIDGEWATER, VA
USGS	01620850	MOSSY CREEK NEAR SPRING CREEK, VA
USGS	01620950	DRY RIVER OFF U.S. HWY 33 NEAR RAWLEY SPRINGS, VA
USGS	01620952	DRY RIVER ALONG RT 33 NEAR RAWLEY SPRINGS, VA
USGS	01620995	BLACK RN AT RAWLEY SPRINGS, VA
USGS	01621000	DRY RIVER AT RAWLEY SPRINGS, VA
USGS	01621004	MUDDY CREEK TRIB 2 AT RT 773 NEAR SINGERS GLEN, VA
USGS	01621006	MUDDY CREEK TRIB 2 AT RT 774 NEAR SINGERS GLEN, VA
USGS	01621008	MUDDY CREEK TRIB 1 TO TRIB 2 NEAR SINGERS GLEN, VA
USGS	01621010	TRIBUTARY ON RT 773 NORTH OF SPARKLING SPRINGS, VA
USGS	01621012	SPRING AT RT 777 NEAR SINGERS GLEN, VA
USGS	01621016	MUDDY CREEK TRIB 3 TO TRIB 1 NEAR SINGERS GLEN, VA
USGS	0162101710	SW-04  MUDDY CREEK FLOWPATH STUDY, VA.
USGS	0162101730	SW-05 (CONFLUENCE) MUDDY CREEK FLOWPATH STUDY, VA.
USGS	0162101750	SW-03  MUDDY CREEK FLOWPATH STUDY, VA.
USGS	0162101770	SW-02  MUDDY CREEK FLOWPATH STUDY, VA.
USGS	0162101790	SW-01  MUDDY CREEK FLOWPATH STUDY, VA.
USGS	01621018	TRIBUTARY OFF 771, VA
USGS	01621020	MUDDY CREEK TRIB 1 TO TRIB 1 NEAR SINGERS GLEN, VA
USGS	01621022	MUDDY CREEK ABOVE STULZ MILL NR SINGERS GELN, VA
USGS	01621024	MUDDY CREEK AT STULTZ MILL, VA
USGS	01621030	SNAP CREEK NEAR SINGERS GLEN, VA
USGS	01621036	MUDDY CREEK TRIB 4 AT RT 761 AT MOUNT CLINTON, VA
USGS	01621038	MUDDY CREEK TRIB 4 AT RT 752 AT MOUNT CLINTON, VA
USGS	01621040	MUDDY CREEK TRIB 3 NEAR RT 613 NEAR MT CLINTON, VA
USGS	01621046	MUDDY CREEK TRIB 3 AT RT 760 AT MOUNT CLINTON, VA
USGS	01621050	MUDDY CREEK AT MOUNT CLINTON, VA
USGS	01621089	MUDDY CREEK NEAR HINTON, VA
USGS	01621100	MUDDY CREEK AT HINTON, VA
USGS	01621200	WAR BRANCH NEAR HINTON, VA
USGS	01621209	WAR BRANCH NEAR BUTTERCUP LN NEAR HINTON, VA
USGS	01621210	WAR BRANCH AT HINTON, VA
USGS	01621280	MUDDY CREEK AT ROUTE 737 NEAR HINTON, VA
USGS	01621300	DRY RIVER AT RT 257 AT BRIDGEWATER, VA
USGS	01621305	DRY RIVER AT MOUTH AT BRIDGEWATER, VA
USGS	01621315	NORTH RIVER AT BRIDGEWATER, VA
USGS	01621320	LONG GLADE CREEK AT RT 613 NEAR MOSCOW, VA
USGS	01621324	LONG GLADE CK AT HILLVIEW FARM NR GLADE VALLEY, VA
USGS	01621340	LONG GLADE CREEK AT RT 42 AT BRIDGEWATER, VA
USGS	01621347	NORTH RIVER AT ROUTE 727 NEAR MT CRAWFORD, VA
USGS	01621358	NORTH RIVER BELOW TRIBUTARY NEAR MT CRAWFORD, VA
USGS	01621360	NORTH RIVER NEAR MOUNT CRAWFORD, VA
USGS	0162137718	COOKS CREEK AT COLLEGE STREET AT DAYTON, VA
USGS	01621390	COOKS CREEK AT U.S. HWY 11 NR MT. CRAWFORD, VA
USGS	01621395	BLACKS RUN AT RT 753 AT HARRISONBURG, VA
USGS	01621397	BLACKS RUN AT WATER STREET AT HARRISONBURG, VA
USGS	01621400	BLACKS RUN AT HARRISONBURG, VA
USGS	01621410	BLACKS RUN AT RT 726 AT HARRISONBURG, VA
USGS	01621425	BLACKS RUN AT RT 679 NEAR HARRISONBURG, VA
USGS	01621440	BLACKS RUN AT RT 988 NEAR HARRISONBURG, VA
USGS	01621450	BLACKS RUN TRIB NO 1 NEAR HARRISONBURG, VA
USGS	01621470	BLACKS RUN AT RT 704 NEAR MOUNT CRAWFORD, VA
USGS	01621500	COOKS CREEK AT MOUNT CRAWFORD, VA
USGS	01621515	NORTH RIVER ABOVE WWTP NEAR MOUNT CRAWFORD, VA
USGS	01621516	NORTH RIVER BELOW WWTP NEAR MOUNT CRAWFORD, VA
USGS	01621600	PLEASANT RUN AT ROUTE 867 NEAR MT. CRAWFORD, VA
USGS	01621788	NORTH RIVER AT RAILROAD BRIDGE NR MT CRAWFORD, VA
USGS	01622000	NORTH RIVER NEAR BURKETOWN, VA
USGS	01622100	NORTH RIVER TRIB NEAR MOUNT CRAWFORD, VA
USGS	01622188	NAKED CREEK AT ROUTE 694 AT BURKETOWN, VA
USGS	01622210	NORTH RIVER AT RT 276 NEAR WEYERS CAVE, VA
USGS	01622220	MIDDLE RIVER TRIBUTARY NEAR MIDDLEBROOK, VA
USGS	0162222990	MIDDLE RIVER TRIB NO 2 NEAR SWOOPE, VA
USGS	01622230	MIDDLE RIVER BELOW TRIMBLES MILL NEAR SWOOPE, VA
USGS	01622258	BACK CREEK NEAR SWOOPE, VA
USGS	01622292	EIDSON CREEK AT GREY GABLES FARM NEAR SWOOPE, VA
USGS	01622300	BUFFALO BRANCH TRIB NO 1 NR AUGUSTA SPRINGS, VA
USGS	01622400	BUFFALO BRANCH TRIB NO 2 NEAR CHRISTIANS, VA
USGS	01622459	MIDDLE RIVER AT ROUTE 721 NEAR CHURCHVILLE, VA
USGS	01622464	MIDDLE RIVER ABOVE ROUTE 250 NEAR CHURCHVILLE, VA
USGS	01622465	MIDDLE RIVER AT US HWY 250 NEAR CHURCHVILLE, VA
USGS	0162246747	BUCKHORN CREEK ABV TRIBUTARY NR LONE FOUNTAIN, VA
USGS	0162246784	BUCKHORN CREEK ABOVE RT 250 NR LONE FOUNTAIN, VA
USGS	01622468	JENNINGS BR AT WHITES STORE NR LONE FOUNTAIN, VA
USGS	01622470	JENNINGS BR AT JENNINGS GAP NR CHURCHVILLE, VA
USGS	01622490	JENNINGS BRANCH AT RT 42 AT CHURCHVILLE, VA
USGS	01622515	WHISKEY CREEK AT RT 42 NEAR CHURCHVILLE, VA
USGS	01622560	JENNINGS BRANCH NEAR CHURCHVILLE, VA
USGS	01623000	BELL CREEK AT ST PAULS CHAPEL, NEAR STAUNTON, VA
USGS	01623500	BELL CREEK NEAR STAUNTON, VA
USGS	01624000	BELL CREEK AT FRANKS MILL NEAR STAUNTON, VA
USGS	01624155	MOFFETT CREEK AT RT 835 NEAR PARNASSUS, VA
USGS	01624175	ELK RUN AT RT 835 NEAR PARNASSUS, VA
USGS	01624225	MOFFETT CREEK AT MOUTH NEAR STAUNTON, VA
USGS	01624300	MIDDLE RIVER NEAR VERONA, VA
USGS	01624330	MIDDLE RIVER AT US HIGHWAY 11 AT VERONA, VA
USGS	01624350	MIDDLE RIVER ABOVE LEWIS CREEK NEAR VERONA, VA
USGS	01624490	LEWIS CREEK AT STAUNTON, VA
USGS	01624500	LEWIS CREEK NEAR STAUNTON, VA
USGS	01624550	LEWIS CREEK AT RT 612 NEAR VERONA, VA
USGS	01624615	CHRISTIANS CREEK AT SPRING NEAR MIDDLEBROOK, VA
USGS	01624620	CHRISTIANS CREEK AT RT 604 NEAR GREENVILLE, VA
USGS	01624660	CHRISTIANS CREEK NEAR STUARTS DRAFT, VA
USGS	01624670	FOLLY MILLS CREEK NEAR STAUNTON, VA
USGS	01624700	CHRISTIANS CREEK AT RT 635 NEAR JOLIVUE, VA
USGS	01624750	CHRISTIANS CREEK AT RT 250 NEAR STAUNTON, VA
USGS	01624800	CHRISTIANS CREEK NEAR FISHERSVILLE, VA
USGS	01624880	MEADOW RUN AT WOODLAWN WWTP NEAR HERMITAGE, VA
USGS	01624885	MEADOW RUN NEAR WAYNESBORO, VA
USGS	01624900	CHRISTIANS CREEK NEAR VERONA, VA
USGS	01624940	MIDDLE RIVER TRIB 3 AT MOUNT SIDNEY, VA
USGS	01624950	POLECAT DRAFT NEAR PIEDMONT, VA
USGS	01624960	POLECAT DRAFT AT RT 608 NEAR PIEDMONT, VA
USGS	01624966	MIDDLE RIVER AT ROUTE 775 NEAR GROTTOES, VA
USGS	01625000	MIDDLE RIVER NEAR GROTTOES, VA
USGS	01625150	NORTH RIVER TRIB AT MOUTH NEAR PORT REPUBLIC, VA
USGS	0162519967	MILL CREEK NEAR PORT REPUBLIC, VA
USGS	01625200	MILL CREEK AT ROUTE 671 NEAR PORT REPUBLIC, VA
USGS	01625500	NORTH RIVER AT PORT REPUBLIC, VA
USGS	01625625	SOUTH RIVER AT RT 662 AT GREENVILLE, VA
USGS	01625645	SOUTH RIVER AT SUFFANGUS FARM NEAR GREENVILLE, VA
USGS	01625700	POOR CREEK NEAR GREENVILLE, VA
USGS	01625770	PINE RUN NEAR GREENVILLE, VA
USGS	01625820	SOUTH RIVER AT ROUTE 656 NEAR STUARTS DRAFT, VA
USGS	01625830	STONY RUN AT COAL RD NEAR STUARTS DRAFT, VA
USGS	01625840	JOHNS RUN AT COAL RD NEAR STUARTS DRAFT, VA
USGS	01625847	SOUTH RIVER AT STP AT STUARTS DRAFT, VA
USGS	01625850	COLES RUN NEAR STUARTS DRAFT, VA
USGS	01625860	KENNEDY CREEK AT COAL RD NEAR SHERANDO, VA
USGS	01625880	SOUTH RIVER AT RT 664 AT LYNDHURST, VA
USGS	0162588350	SOUTH FORK BACK CREEK AT RT 814 NEAR SHERANDO, VA
USGS	0162588440	SOUTH FORK BACK CREEK BELOW RT 814 NR SHERANDO, VA
USGS	01625900	BACK CREEK AT LYNDHURST, VA
USGS	01626000	SOUTH RIVER NEAR WAYNESBORO, VA
USGS	01626500	SOUTH RIVER AT WAYNESBORO, VA
USGS	01626506	SOUTH RIVER ABOVE ROCKFISH RUN AT WAYNESBORO, VA
USGS	01626575	JONES HOLLOW RUN AT HUNTER ST AT WAYNESBORO, VA
USGS	01626850	SOUTH RIVER NEAR DOOMS, VA
USGS	01626900	SAWMILL RUN NEAR DOOMS, VA
USGS	01626920	SOUTH RIVER AT OLD ROUTE 611 AT DOOMS, VA
USGS	01626950	PORTERFIELD RUN NEAR CRIMORA, VA
USGS	01626952	PORTERFIELD RUN ABOVE MOUTH NEAR CRIMORA, VA
USGS	01627000	MINE BRANCH NEAR CRIMORA, VA
USGS	01627100	MEADOW RUN NEAR CRIMORA, VA
USGS	01627300	SOUTH RIVER TRIB NEAR HARRISTON, VA
USGS	01627395	PAINE RUN ABOVE RT 614 NEAR HARRISTON, VA
USGS	01627500	SOUTH RIVER AT HARRISTON, VA
USGS	01628000	SOUTH RIVER AT PORT REPUBLIC, VA
USGS	01628050	MADISON RUN ABOVE WHITE OAK RUN NR GROTTOES, VA
USGS	01628060	WHITE OAK RUN NEAR GROTTOES, VA
USGS	01628080	MADISON RUN NEAR GROTTOES, VA
USGS	01628150	DEEP RUN NEAR GROTTOES, VA
USGS	01628250	SOUTH FORK SHENANDOAH RIVER AT LYNNWOOD, VA
USGS	01628300	LOWER LEWIS RUN NEAR LYNWOOD, VA
USGS	01628320	LOWER LEWIS RUN TRIB NEAR LYNWOOD, VA
USGS	01628350	UPPER LEWIS RUN NEAR LYNNWOOD, VA
USGS	01628500	S F SHENANDOAH RIVER NEAR LYNNWOOD, VA
USGS	01628530	HANGMAN RUN NEAR ROCKY BAR, VA
USGS	01628585	CUB RUN AT RT 33 AT PENN LAIRD, VA
USGS	01628590	CUB RUN TRIB NO2 AB LAWYER STP AT PENN LAIRD, VA
USGS	01628600	CUB RUN TRIB AT MONTEVIDEO, VA
USGS	01628630	CUB RUN AT RT 650 AT ROCKY BAR NR ISLAND FORD, VA
USGS	01628700	TWOMILE RUN NEAR MCGAHEYSVILLE, VA
USGS	01628750	WALLS RUN NEAR ROCKY BAR, VA
USGS	01628800	S F SHENANDOAH RIVER NEAR ELKTON, VA
USGS	01628850	HAWKSBILL CREEK TRIB 2 NEAR BACON HOLLOW, VA
USGS	01628900	HAWKSBILL CREEK TRIB NEAR SWIFT RUN, VA
USGS	01628903	S F SHENANDOAH RIVER NR ORE WASH RD AT ELKTON, VA
USGS	01628906	LEE RUN AT RT 624 NEAR SWIFT RUN, VA
USGS	01628910	WEST SWIFT RUN AT SWIFT RUN, VA
USGS	01629000	ELK RUN AT ELKTON, VA
USGS	01629050	S F SHENANDOAH RIVER AT ELKTON, VA
USGS	0162906760	QUAIL RUN AT RT 646 NEAR MCGAHEYSVILLE, VA
USGS	01629070	QUAIL RUN AT RT 602 NEAR ELKTON, VA
USGS	0162909150	BOONE RUN AT RT 636 NEAR ELKTON, VA
USGS	0162910630	S F SHENANDOAH RIVER AB NAKED CR NR SHENANDOAH, VA
USGS	01629113	EAST BRANCH NAKED CREEK AT PARK NEAR JOLLIETT, VA
USGS	01629120	EAST BRANCH NAKED CREEK NEAR JOLLETT, VA
USGS	01629130	BIG CREEK NEAR JOLLETT, VA
USGS	01629150	S BRANCH NAKED CR BL BIG UGLY BR NR FURNACE, VA
USGS	01629275	S F SHENANDOAH RIVER AT SHENANDOAH, VA
USGS	01629276	S F SHENANDOAH RIV AT PECO DAM AT SHENANDOAH, VA
USGS	01629300	S F SHENANDOAH RIV AT PECO DAM NR NEWPORT, VA
USGS	01629376	BIG RUN AT US HIGHWAY 211 NEAR LURAY, VA
USGS	01629400	S F SHENANDOAH RIVER TRIB NEAR LURAY, VA
USGS	01629500	S F SHENANDOAH RIVER NEAR LURAY, VA
USGS	01629510	S F SHENANDOAH RIVER BL ROUTE 211 NEAR HAMBURG, VA
USGS	01629550	MILL CREEK NEAR HAMBURG, VA
USGS	01629561	MILL CREEK NEAR LURAY, VA
USGS	01629600	S F SHENANDOAH RIV AT PECO DAM NR LURAY, VA
USGS	01629765	HAWKSBILL CREEK AT PARK NEAR BIG MEADOWS, VA
USGS	01629900	LITTLE HAWKSBILL CREEK NEAR IDA, VA
USGS	01629920	LITTLE HAWKSBILL CREEK TRIB NEAR IDA, VA
USGS	01629935	LITTLE HAWKSBILL CREEK AT RT 626 NEAR STANLEY, VA
USGS	01629943	HAWKSBILL CREEK AT ROUTE 689 NEAR STANLEY, VA
USGS	01629945	CHUB RUN NEAR STANLEY, VA
USGS	0162994750	HAWKSBILL CREEK AT RT 629 NEAR LURAY, VA
USGS	0162994975	EAST HAWKSBILL CREEK AT PARK BOUNDARY AT IDA, VA
USGS	01629950	EAST HAWKSBILL CREEK NEAR IDA, VA
USGS	01629958	HAWKSBILL CREEK TRIB AT PARK NR STONY MAN, VA
USGS	01629975	EAST HAWKSBILL CREEK AT RT 642 NEAR LURAY, VA
USGS	01629980	EAST HAWKSBILL CREEK NEAR LURAY, VA
USGS	01629988	HAWKSBILL CREEK AT ROUTE 675 AT LURAY, VA
USGS	01630000	HAWKSBILL CREEK NEAR LURAY, VA
USGS	01630100	S F DRY RUN NEAR FAIRVIEW, VA
USGS	01630154	N F DRY RUN TRIBUTARY NEAR THORNTON GAP, VA
USGS	0163015533	N F DRY RUN TRIB 1 ARMI 39-A NR THORNTON GAP, VA
USGS	0163015536	N F DRY RUN TRIB 1 ARMI 39-B NR THORNTON GAP, VA
USGS	0163015843	N F DRY RUN TRIB 1 ARMI 39L-A NR THORNTON GAP, VA
USGS	0163015846	N F DRY RUN TRIB 1 ARMI 39L-B NR THORNTON GAP, VA
USGS	01630171	N F DRY RUN TRIB TO TRIB NEAR THORNTON GAP, VA
USGS	0163017220	N F DRY RUN TRIB 2 ARMI 40-A NR THORNTON GAP, VA
USGS	0163017223	N F DRY RUN TRIB 2 ARMI 40-B NR THORNTON GAP, VA
USGS	01630200	N F DRY RUN NEAR THORNTON GAP, VA
USGS	01630540	HAWKSBILL CREEK AT RT 648 AT SPRINGFIELD, VA
USGS	0163054075	PASS RUN TRIBUTARY 1 NEAR THORNTON GAP, VA
USGS	0163054107	PASS RUN TRIB 1 TO TRIB 2 NEAR THORNTON GAP, VA
USGS	0163054143	PASS RUN TRIB 2 TO TRIB 2 NEAR THORNTON GAP, VA
