#
#
# US Geological Survey
# retrieved: 2022-01-20 14:41:31 EST
# URL: https://nwis.waterdata.usgs.gov/nwis/inventory
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  district_cd     -- District code
#  state_cd        -- State code
#  county_cd       -- County code
#
#
# query started 2022-01-20 14:41:31 EST
#
# there are 30818 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	site_tp_cd	district_cd	state_cd	county_cd
USGS	01302100	ALLEY CREEK NEAR DOUGLASTON, NY	ST	36	36	081
USGS	01302125	GABBLERS CREEK AT LITTLE NECK NY	ST	36	36	081
USGS	01302200	WHITNEY LAKE OUTLET AT MANHASSET, N.Y.	ST	36	36	059
USGS	01302300	ROSLYN BROOK AT ROSLYN, N.Y.	ST	36	36	059
USGS	01302500	GLEN COVE CREEK AT GLEN COVE NY	ST	36	36	059
USGS	01302580	UNNAMED TRIB TO CRESCENT BEACH AT GLEN COVE NY	ST-TS	36	36	059
USGS	01302800	ISLAND SWAMP BROOK AT LATTINGTOWN, N.Y.	ST	36	36	059
USGS	01302840	FROST CREEK TRIBUTARY AT LATTINGTOWN, NY	ST	36	36	059
USGS	01302850	FROST CREEK AT LATTINGTOWN, NY	ST	36	36	059
USGS	01302890	BEAVER BROOK AT MATINECOCK, N.Y.	ST	36	36	059
USGS	01302900	KENTUCK POND TRIBUTARY AT LOCUST VALLEY, N.Y.	ST	36	36	059
USGS	01302995	KENTUCK POND STREAM AT MATINECOCK NY	ST	36	36	059
USGS	01303000	MILL NECK CREEK AT MILL NECK NY	ST	36	36	059
USGS	01303100	MILL NECK CREEK TRIBUTARY AT LATTINGTOWN, N.Y.	ST	36	36	059
USGS	01303200	SPRING LAKE OUTLET AT MILL NECK, N.Y.	ST	36	36	059
USGS	01303295	MILL POND TRIBUTARY AT OYSTER BAY, N.Y.	ST	36	36	059
USGS	01303500	COLD SPRING BROOK AT COLD SPRING HARBOR NY	ST	36	36	059
USGS	01303550	LLOYD HARBOR TRIBUTARY AT LLOYD HARBOR, N.Y.	ST	36	36	103
USGS	01303600	MILL CREEK NEAR HUNTINGTON NY	ST	36	36	103
USGS	01303699	STONY HOLLOW RUN NEAR NORTHPORT, N.Y.	ST	36	36	103
USGS	01303700	STONY HOLLOW RUN AT CENTERPORT, NY	ST	36	36	103
USGS	01303740	FRESH POND TRIBUTARY AT FORT SALONGA, N.Y.	ST	36	36	103
USGS	01303742	FRESH POND OUTLET AT FORT SALONGA NY	ST	36	36	103
USGS	01303750	SUNKEN MEADOW CREEK NEAR KINGS PARK, N.Y.	ST	36	36	103
USGS	01303790	NORTHEAST BRANCH NISSEQUOGUE RIVER NEAR EAST HAUPP	ST	36	36	103
USGS	01303800	NORTHEAST BR NISSEQUOGUE R AT SMITHTOWN NY	ST	36	36	103
USGS	01303850	N E BRANCH NISSEQUOGUE R NR HAUPPAUGE NY	ST	36	36	103
USGS	01303900	NORTHEAST BR NISSEQUOGUE R NEAR SMITHTOWN NY	ST	36	36	103
USGS	01303941	NISSEQUOGUE RIVER NEAR HAUPPAUGE, NY	ST	36	36	103
USGS	01304000	NISSEQUOGUE RIVER NEAR SMITHTOWN NY	ST	36	36	103
USGS	01304010	NISSEQUOGUE RIVER AT SMITHTOWN, NY	ST	36	36	103
USGS	01304051	STONY BROOK R AT STONY BROOK NY	ST	36	36	103
USGS	01304059	UNNAMED TRIB. AT CHRISTIAN AV AT SETAUKET, NY	ST	36	36	103
USGS	01304060	TRIBUTARY TO CONSCIENCE BAY AT SETAUKET NY	ST	36	36	103
USGS	01304065	TRIB TO SETAUKET HARBOR AT E SETAUKET NY	ST	36	36	103
USGS	01304070	TRIBUTARY TO PORT JEFFERSON HARBOR NY	ST	36	36	103
USGS	01304075	CRYSTAL BK AT MOUNT SINAI NY	ST	36	36	103
USGS	01304098	WADING RIVER NEAR WILDWOOD, N.Y.	ST	36	36	103
USGS	01304100	WADING RIVER AT WADING RIVER, NY	ST	36	36	103
USGS	01304260	EAST CREEK AT JAMESPORT, N.Y.	ST	36	36	103
USGS	01304280	MEETINGHOUSE CREEK AT AQUEBOGUE, NY	ST	36	36	103
USGS	01304290	TERRY CREEK NEAR AQUEBOGUE, NY	ST	36	36	103
USGS	01304295	SAWMILL CREEK AT RIVERHEAD, NY	ST	36	36	103
USGS	01304370	PECONIC RIVER NEAR UPTON, NY	ST	36	36	103
USGS	01304400	PECONIC RIVER NEAR MANORVILLE, N.Y.	ST	36	36	103
USGS	01304405	PECONIC RIVER NEAR MANORVILLE, NY	ST	36	36	103
USGS	01304440	PECONIC RIVER NEAR CALVERTON NY	ST	36	36	103
USGS	01304450	PECONIC RIVER AT CALVERTON, NY	ST	36	36	103
USGS	01304499	PECONIC RIVER NEAR RIVERHEAD, N.Y.	ST	36	36	103
USGS	01304500	PECONIC RIVER AT RIVERHEAD NY	ST	36	36	103
USGS	01304510	PECONIC RIVER AT NUGENT DR., RIVERHEAD, NY	ST	36	36	103
USGS	01304530	LITTLE RIVER NEAR RIVERHEAD NY	ST	36	36	103
USGS	01304540	LITTLE RIVER AT RIVERHEAD, NY	ST	36	36	103
USGS	01304560	WHITE BROOK AT RIVERHEAD NY	ST	36	36	103
USGS	01304568	BIRCH CREEK AT FLANDERS, NY	ST	36	36	103
USGS	01304570	MILL CREEK NEAR FLANDERS NY	ST	36	36	103
USGS	01304574	HUBBARD CREEK NEAR SOUTHPORT, NY	ST	36	36	103
USGS	01304580	COLD SPRING POND TRIBUTARY AT SHINECOOK HILL NY	ST	36	36	103
USGS	01304590	SEBONAC CREEK NEAR NORTH SEA NY	ST	36	36	103
USGS	01304597	BIG FRESH POND OUTLET NEAR NORTH SEA NY	ST	36	36	103
USGS	01304600	BIG FRESH POND OUTLET AT NORTH SEA NY	ST	36	36	103
USGS	01304630	MILL CREEK AT NOYACK NY	ST	36	36	103
USGS	01304660	LIGONEE BROOK AT SAG HARBOR NY	ST	36	36	103
USGS	01304665	LITTLE NORTHWEST CREEK NEAR SAG HARBOR NY	ST	36	36	103
USGS	01304672	TANBARK CREEK AT THREEMILE HARBOR NY	ST	36	36	103
USGS	01304675	FRESH POND TRIBUTARY AT BARNES HOLE NY	ST	36	36	103
USGS	01304680	LAKE MONTAUK TRIBUTARY NEAR DITCH PLAINS NY	ST	36	36	103
USGS	01304683	LAKE MONTAUK TRIBUTARY #2 AT DITCH PLAINS NY	ST	36	36	103
USGS	01304686	OYSTER POND TRIBUTARY NEAR MONTAUK POINT NY	ST	36	36	103
USGS	01304689	OYSTER POND TRIBUTARY #2 NEAR MONTAUK POINT NY	ST	36	36	103
USGS	01304690	UNNAMED TRIB. TO ATLANTIC OC. NEAR MONTALK PT., NY	ST	36	36	103
USGS	01304693	HOOK POND TRIBUTARY AT EAST HAMPTON NY	ST	36	36	103
USGS	01304697	GEORGICA POND TRIBUTARY #2 AT MIDHAMPTON NY	ST	36	36	103
USGS	01304700	GEORGICA POND TRIBUTARY AT MIDHAMPTON NY	ST	36	36	103
USGS	01304730	POXABOGUE POND OUTLET AT SAGAPONACK NY	ST	36	36	103
USGS	01304733	HAYGROUND COVE TRIBUTARY #2 AT HAYGROUND NY	ST	36	36	103
USGS	01304734	HAYGROUND COVE TRIBUTARY AT WATER MILL NY	ST	36	36	103
USGS	01304739	MILL CREEK AT WATER MILL NY	ST	36	36	103
USGS	01304745	WEESUCK CREEK AT EAST QUOGUE NY	ST	36	36	103
USGS	01304750	TIANA CREEK AT TIANA, NY	ST	36	36	103
USGS	01304755	WEESUCK CREEK AT EAST QUOGUE, NY	ST	36	36	103
USGS	01304756	PHILLIPS CREEK AT EAST QUOGUE, NY	ST	36	36	103
USGS	01304760	QUANTUCK CREEK AT QUOGUE NY	ST	36	36	103
USGS	01304779	ASPATUCK CREEK NEAR WESTHAMPTON NY	ST	36	36	103
USGS	01304780	ASPATUCK CREEK NEAR WESTHAMPTON BEACH, NY	ST	36	36	103
USGS	01304800	BEAVERDAM CREEK AT WEST HAMPTON NY	ST	36	36	103
USGS	01304820	SPEONK RIVER AT SPEONK NY	ST	36	36	103
USGS	01304830	EAST RIVER AT EASTPORT NY	ST	36	36	103
USGS	01304860	SEATUCK CREEK AT EASTPORT NY	ST	36	36	103
USGS	01304900	LITTLE SEATUCK CREEK AT EASTPORT NY	ST	36	36	103
USGS	01304930	TERRELL RIVER AT CENTER MORICHES, N.Y.	ST	36	36	103
USGS	01304940	MUD CREEK AT MORICHES, NY	ST	36	36	103
USGS	01304950	EAST MILLPOND OUTLET AT MORICHES NY	ST	36	36	103
USGS	01304959	WEST MILLPOND AT MASTIC NY	ST	36	36	103
USGS	01304960	FORGE RIVER AT MORICHES, NY	ST	36	36	103
USGS	01304964	PATTERSQUASH CREEK AT MASTIC BEACH, NY	ST	36	36	103
USGS	01304965	JOHNS NECK CREEK AT MASTIC BEACH, NY	ST	36	36	103
USGS	01304990	CARMANS RIVER AT MIDDLE ISLAND NY	ST	36	36	103
USGS	01304995	CARMANS RIVER NEAR YAPHANK NY	ST	36	36	103
USGS	01304998	CARMANS RIVER BELOW LOWER LAKE AT YAPHANK NY	ST	36	36	103
USGS	01305000	CARMANS RIVER AT YAPHANK NY	ST	36	36	103
USGS	01305040	CARMANS RIVER AT SOUTHHAVEN NY	ST	36	36	103
USGS	01305095	BEAVERDAM CREEK NEAR BROOKHAVEN, N.Y.	ST	36	36	103
USGS	01305100	BEAVERDAM CREEK AT BROOKHAVEN, NY	ST	36	36	103
USGS	01305200	MOTTS CREEK AT BELLPORT, NY	ST	36	36	103
USGS	01305210	HOWELL CREEK AT BELLPORT, NY	ST	36	36	103
USGS	01305240	HEDGES CREEK AT EAST PATCHOGUE, NY	ST	36	36	103
USGS	01305280	ABETS CREEK AT EAST PATCHOGUE, NY	ST	36	36	103
USGS	01305300	MUD CREEK AT EAST PATCHOGUE, NY	ST	36	36	103
USGS	01305400	SWAN RIVER NR EAST PATCHOGUE NY	ST	36	36	103
USGS	01305490	SWAN RIVER AT ROSE ST AT E PATCHOGUE NY	ST	36	36	103
USGS	01305500	SWAN RIVER AT EAST PATCHOGUE NY	ST	36	36	103
USGS	01305800	PATCHOGUE CREEK NEAR PATCHOGUE, NY	ST	36	36	103
USGS	01306000	PATCHOGUE RIVER AT PATCHOGUE NY	ST	36	36	103
USGS	01306100	TUTHILLS CREEK AT PATCHOGUE, NY	ST	36	36	103
USGS	01306170	EAST BRANCH BROWN CREEK NEAR SAYVILLE NY	ST	36	36	103
USGS	01306195	EAST BRANCH BROWN CREEK AT BAYPORT, NY	ST	36	36	103
USGS	01306200	EAST BRANCH BROWN CREEK AT SAYVILLE, N.Y.	ST	36	36	103
USGS	01306300	WEST BRANCH BROWN CREEK AT SAYVILLE, NY	ST	36	36	103
USGS	01306390	GREEN CREEK AT SAYVILLE, N.Y.	ST	36	36	103
USGS	01306395	GREEN CREEK NEAR SAYVILLE, NY	ST	36	36	103
USGS	01306400	GREEN CREEK AT WEST SAYVILLE  NY	ST	36	36	103
USGS	01306420	CONNETQUOT RIVER AT LAKELAND, NY 306420	ST	36	36	103
USGS	01306422	CONNETQUOT RIVER AT LAKELAND, NY 306422	ST	36	36	103
USGS	01306424	CONNETQUOT RIVER AT LAKELAND, NY 306424	ST	36	36	103
USGS	01306426	CONNETQUOT RIVER AT LAKELAND, NY 306426	ST	36	36	103
USGS	01306428	CONNETQUOT RIVER AT LAKELAND, NY 306428	ST	36	36	103
USGS	01306430	CONNETQUOT RIVER AT LAKELAND, NY 306430	ST	36	36	103
USGS	01306432	CONNETQUOT RIVER AT LAKELAND, NY 306432	ST	36	36	103
USGS	01306434	CONNETQUOT RIVER AT LAKELAND, NY 306434	ST	36	36	103
USGS	01306436	CONNETQUOT RIVER AT LAKELAND, NY 306436	ST	36	36	103
USGS	01306440	CONNETQUOT BROOK AT CENTRAL ISLIP NY	ST	36	36	103
USGS	01306442	CONNETQUOT RIVER AT BOHEMIA, NY 306442	ST	36	36	103
USGS	01306444	CONNETQUOT RIVER AT BOHEMIA, NY 306444	ST	36	36	103
USGS	01306446	CONNETQUOT RIVER AT BOHEMIA, NY 306446	ST	36	36	103
USGS	01306448	CONNETQUOT RIVER AT BOHEMIA, NY 306448	ST	36	36	103
USGS	01306449	CONNETQUOT RIVER AT BOHEMIA, NY 306449	ST	36	36	103
USGS	01306450	CONNETQUOT RIVER AT BOHEMIA, NY 306450	ST	36	36	103
USGS	01306451	CONNETQUOT RIVER AT BOHEMIA, NY 306451	ST	36	36	103
USGS	01306452	CONNETQUOT RIVER AT BOHEMIA, NY 306452	ST	36	36	103
USGS	01306454	CONNETQUOT RIVER AT BOHEMIA, NY 306454	ST	36	36	103
USGS	01306456	CONNETQUOT RIVER AT BOHEMIA, NY 306456	ST	36	36	103
USGS	01306457	CONNETQUOT RIVER AT BOHEMIA, NY 306457	ST	36	36	103
USGS	01306458	CONNETQOUT RIVER AT BOHEMIA, NY	ST	36	36	103
USGS	01306460	CONNETQUOT BK NR CENTRAL ISLIP NY	ST	36	36	103
USGS	01306464	CONNETQUOT RIVER AT BOHEMIA, NY 306464	ST	36	36	103
USGS	01306468	CONNETQUOT RIVER AT BOHEMIA, NY 306468	ST	36	36	103
USGS	01306470	CONNETQUOT BROOK NEAR OAKDALE NY	ST	36	36	103
USGS	01306475	CONNETQUOT RIVER AT BOHEMIA, NY 306475	ST	36	36	103
USGS	01306480	CONNETQUOT RIVER AT BOHEMIA, NY 306480	ST	36	36	103
USGS	01306495	CONNETQUOT RIVER DISTRIBUTORY NEAR OAKDALE NY	ST	36	36	103
USGS	01306499	CONNETQUOT RIVER NEAR NORTH GREAT RIVER NY	ST	36	36	103
USGS	01306500	CONNETQUOT RIVER NEAR OAKDALE NY	ST	36	36	103
USGS	01306700	RATTLESNAKE BROOK NEAR OAKDALE, N.Y.	ST	36	36	103
USGS	01306730	WEST BROOK AT BOHEMIA, NY 306730	ST	36	36	103
USGS	01306760	WEST BROOK AT BOHEMIA, NY 306760	ST	36	36	103
USGS	01306800	WEST BROOK NEAR GREAT RIVER, N.Y.	ST	36	36	103
USGS	01306805	UNNAMED TRIB. TO CONNETQUOT R. AT GREAT RIVER, NY	ST	36	36	103
USGS	01306820	CHAMPLIN CREEK AT CENTRAL ISLIP, NY 306820	ST	36	36	103
USGS	01306840	CHAMPLIN CREEK AT CENTRAL ISLIP, NY 306840	ST	36	36	103
USGS	01306850	CHAMPLIN CREEK NEAR ISLIP, NY 306850	ST	36	36	103
USGS	01306870	CHAMPLIN CREEK NEAR ISLIP NY 306870	ST	36	36	103
USGS	01306900	CHAMPLIN CREEK NEAR ISLIP NY 306900	ST	36	36	103
USGS	01306910	CHAMPLIN CREEK AT ISLIP TERRACE, NY 306910	ST	36	36	103
USGS	01306920	CHAMPLIN CREEK AT ISLIP TERRACE, NY 306920	ST	36	36	103
USGS	01306930	CHAMPLIN CREEK NEAR ISLIP, NY 306930	ST	36	36	103
USGS	01306950	CHAMPLIN CREEK (ISLIP BLVD) NEAR ISLIP, N.Y.	ST	36	36	103
USGS	01306975	CHAMPLIN CREEK AT EAST ISLIP, NY 306975	ST	36	36	103
USGS	01307000	CHAMPLIN CREEK AT ISLIP NY	ST	36	36	103
USGS	01307005	CHAMPLIN CREEK TRIBUTARY AT EAST ISLIP, NY	ST	36	36	103
USGS	01307050	CHAMPLIN CREEK AT EAST ISLIP, NY 307050	ST	36	36	103
USGS	01307100	CHAMPLIN CREEK (MONTAUK HIGHWAY) AT ISLIP, N.Y.	ST	36	36	103
USGS	01307125	CHAMPLIN CREEK AT EAST ISLIP, NY 307125	ST	36	36	103
USGS	01307150	CHAMPLIN C (HEAD OF TIDEWATER) AT ISLIP, N.Y.	ST	36	36	103
USGS	01307170	CHAMPLIN CREEK MOUTH	ST	36	36	103
USGS	01307172	OROWOC CREEK AT BRENTWOOD, NY 307172	ST	36	36	103
USGS	01307174	OROWOC CREEK AT BRENTWOOD, NY 307174	ST	36	36	103
USGS	01307176	OROWOC CREEK AT BRENTWOOD, NY 307176	ST	36	36	103
USGS	01307178	OROWOC CREEK AT BRENTWOOD, NY 307178	ST	36	36	103
USGS	01307180	OROWOC CREEK AT WEST ISLIP, NY 307180	ST	36	36	103
USGS	01307182	OROWOC CREEK AT WEST ISLIP, NY 307182	ST	36	36	103
USGS	01307184	OROWOC CREEK AT WEST ISLIP, NY 307184	ST	36	36	103
USGS	01307186	OROWOC CREEK AT WEST ISLIP, NY 307186	ST	36	36	103
USGS	01307188	OROWOC CREEK AT WEST ISLIP, NY 307188	ST	36	36	103
USGS	01307190	OROWOC CREEK AT WEST ISLIP, NY 307190	ST	36	36	103
USGS	01307200	OROWOC CREEK AT ISLIP  NY	ST	36	36	103
USGS	01307210	OROWOC CREEK AT ISLIP, NY 307210	ST	36	36	103
USGS	01307220	OROWOC CREEK AT ISLIP, NY 307220	ST	36	36	103
USGS	01307230	OROWOC CREEK AT EAST ISLIP, NY 307230	ST	36	36	103
USGS	01307235	OROWOC CREEK AT EAST ISLIP, NY 307235	ST	36	36	103
USGS	01307240	OROWOC CREEK AT EAST ISLIP, NY 307240	ST	36	36	103
USGS	01307250	OROWOC CREEK AT EAST ISLIP, NY 307250	ST	36	36	103
USGS	01307260	OROWOC CREEK AT EAST ISLIP, NY 307260	ST	36	36	103
USGS	01307270	OROWOC CREEK AT EAST ISLIP, NY 307270	ST	36	36	103
USGS	01307275	OROWOC CREEK AT EAST ISLIP, NY 307275	ST	36	36	103
USGS	01307280	OROWOC CREEK AT EAST ISLIP, NY 307280	ST	36	36	103
USGS	01307285	OROWOC CREEK AT EAST ISLIP, NY 307285	ST	36	36	103
USGS	01307290	PARDEES PONDS TRIBUTARY AT ISLIP  NY	ST	36	36	103
USGS	01307291	OROWOC CREEK AT EAST ISLIP, NY 307291	ST	36	36	103
USGS	01307300	PARDEES PONDS OUTLET AT ISLIP, NY	ST	36	36	103
USGS	01307355	AWIXA CREEK AT BAY SHORE, NY 307355	ST	36	36	103
USGS	01307357	AWIXA CREEK AT BAY SHORE, NY 307357	ST	36	36	103
USGS	01307360	AWIXA CREEK AT BAY SHORE, NY 307360	ST	36	36	103
USGS	01307365	AWIXA CREEK AT BAY SHORE, NY 307365	ST	36	36	103
USGS	01307370	AWIXA CREEK AT BAY SHORE, NY 307370	ST	36	36	103
USGS	01307375	AWIXA CREEK AT BAY SHORE, NY 307375	ST	36	36	103
USGS	01307380	AWIXA CREEK AT BAY SHORE, NY 307380	ST	36	36	103
USGS	01307385	AWIXA CREEK AT BAY SHORE, NY 307385	ST	36	36	103
USGS	01307400	AWIXA CREEK AT ISLIP NY	ST	36	36	103
USGS	01307410	AWIXA CREEK AT BAY SHORE, NY 307410	ST	36	36	103
USGS	01307435	PENATAQUIT CREEK AT NORTH BAY SHORE, NY 307435	ST	36	36	103
USGS	01307440	PENATAQUIT CREEK AT NORTH BAY SHORE, NY 307440	ST	36	36	103
USGS	01307450	PENATAQUIT CREEK AT NORTH BAY SHORE, NY 307450	ST	36	36	103
USGS	01307470	PENATAQUIT CREEK AT BAY SHORE, NY 307470	ST	36	36	103
USGS	01307480	PENATAQUIT CREEK AT BAY SHORE, NY 307480	ST	36	36	103
USGS	01307490	PENATAQUIT CREEK TRIBUTARY AT BAY SHORE, NY 307490	ST	36	36	103
USGS	013074905	PENATAQUIT CREEK AT NORTH BAY SHORE, NY 3074905	ST	36	36	103
USGS	01307491	PENATAQUIT CREEK AT BAY SHORE, NY 307491	ST	36	36	103
USGS	013074915	PENATAQUIT CREEK TRIB AT BAY SHORE, NY 3074915	ST	36	36	103
USGS	01307492	PENATAQUIT CREEK AT BAY SHORE, NY 307492	ST	36	36	103
USGS	01307500	PENATAQUIT CREEK AT BAY SHORE NY	ST	36	36	103
USGS	01307502	PENTAQUIT CREEK AT BAY SHORE, NY	ST	36	36	103
USGS	01307515	WATCHOQUE CREEK AT BAY SHORE, NY	ST	36	36	103
USGS	01307525	WATCHOGUE CREEK AT BAY SHORE, NY	ST	36	36	103
USGS	01307535	LAWRENCE CREEK AT BAY SHORE, NY 307535	ST	36	36	103
USGS	01307545	LAWRENCE CREEK AT BAY SHORE, NY 307545	ST	36	36	103
USGS	01307555	LAWRENCE CREEK AT BAY SHORE, NY 307555	ST	36	36	103
USGS	01307565	LAWRENCE CREEK AT BAY SHORE, NY 307565	ST	36	36	103
USGS	01307568	LAWRENCE CREEK AT BAY SHORE, NY 307568	ST	36	36	103
USGS	01307600	CASCADE LAKES OUTLET AT BRIGHTWATERS NY	ST	36	36	103
USGS	01307610	THOMPSONS CREEK AT WEST BAY SHORE, NY 307610	ST	36	36	103
USGS	01307620	THOMPSONS CREEK AT WEST BAY SHORE, NY 307620	ST	36	36	103
USGS	01307630	THOMPSONS CREEK AT WEST BAY SHORE, NY 307630	ST	36	36	103
USGS	01307665	TRUES CREEK AT WEST BAY SHORE, NY 307665	ST	36	36	103
USGS	01307675	TRUES CREEK AT WEST BAY SHORE, NY 307675	ST	36	36	103
USGS	01307680	TRUES CREEK AT WEST BAY SHORE, NY 307680	ST	36	36	103
USGS	01307685	TRUES CREEK AT WEST BAY SHORE, NY 307685	ST	36	36	103
USGS	01307695	TRUES CREEK NEAR WEST ISLIP NY	ST	36	36	103
USGS	01307698	TRUES CREEK TRIBUTARY NEAR WEST ISLIP, NY	ST	36	36	103
USGS	01307700	TRUES CREEK AT WEST ISLIP, NY	ST	36	36	103
USGS	01307730	WILLETTS CREEK AT WEST ISLIP, NY	ST	36	36	103
USGS	01307740	WILLETS CREEK AT WEST ISLIP, NY 307740	ST	36	36	103
USGS	01307750	WILLETS CREEK AT WEST ISLIP, NY 307750	ST	36	36	103
USGS	01307760	WILLETTS CREEK NEAR WEST ISLIP NY	ST	36	36	103
USGS	01307770	WILLETS CREEK AT WEST ISLIP, NY 307770	ST	36	36	103
USGS	01307780	WILLETTS CREEK NEAR BABYLON, N.Y.	ST	36	36	103
USGS	01307785	WILLETS CREEK AT WEST ISLIP, NY 307785	ST	36	36	103
USGS	01307795	WILLETS CREEK AT WEST ISLIP, NY 307795	ST	36	36	103
USGS	01307800	WILLETS CREEK AT WEST ISLIP, NY 307800	ST	36	36	103
USGS	01307855	SKOOKWAMS CREEK AT WEST ISLIP, NY	ST	36	36	103
USGS	01307860	SKOOKWANS CREEK AT WEST ISLIP, NY	ST	36	36	103
USGS	01307900	SKOOKWAMS CREEK AT WEST ISLIP NY	ST	36	36	103
USGS	01307908	SAMPAWAMS CREEK AT DEER PARK, NY	ST	36	36	103
USGS	01307910	SAMPAWAMS CREEK NEAR BABYLON NY	ST	36	36	103
USGS	01307920	SAMPAWAMS CK NR DEER PARK NY	ST	36	36	103
USGS	01307940	SAMPAWAMS CREEK NEAR NORTH BABYLON, NY	ST	36	36	103
USGS	01307945	SAMPAWAMS CREEK AT NORTH BABYLON, NY 307945	ST	36	36	103
USGS	01307950	SAMPAWAMS CREEK NEAR NORTH BABYLON NY	ST	36	36	103
USGS	01307960	SAMPAWAMS CREEK AT NORTH BABYLON, NY 307960	ST	36	36	103
USGS	01307970	SAMPAWAMS CK AT NORTH BABYLON NY	ST	36	36	103
USGS	01307980	SAMPAWAMS CREEK AT BABYLON, NY 307980	ST	36	36	103
USGS	01307990	SAMPAWAMS CREEK NEAR BABYLON, NY	ST	36	36	103
USGS	01307995	SAMPAWAMS CREEK AT BABYLON, NY 307995	ST	36	36	103
USGS	01308000	SAMPAWAMS CREEK AT BABYLON NY	ST	36	36	103
USGS	01308100	SAMPAWAMS CREEK AT BABYLON, NY 308100	ST	36	36	103
USGS	01308200	SAMPAWAMS CK BL HAWLEYS LK AT BABYLON NY	ST	36	36	103
USGS	01308220	CARLLS RIVER AT WYANDANCH, NY 308220	ST	36	36	103
USGS	01308230	CARLLS RIVER AT WYANDANCH, NY 308230	ST	36	36	103
USGS	01308240	CARLLS RIVER AT WYANDANCH, NY 308240	ST	36	36	103
USGS	01308260	CARLLS RIVER AT WYANDANCH, NY 308260	ST	36	36	103
USGS	01308265	CARLLS RIVER AT WYANDANCH, NY 308265	ST	36	36	103
USGS	01308270	CARLLS RIVER AT WYANDANCH, NY 308270	ST	36	36	103
USGS	01308275	CARLLS RIVER AT WYANDANCH, NY 308275	ST	36	36	103
USGS	01308280	CARLLS RIVER AT WYANDANCH, NY 308280	ST	36	36	103
USGS	01308300	CARLLS RIVER AT WYANDANCH NY	ST	36	36	103
USGS	01308305	CARLLS RIVER AT NORTH BABYLON, NY 308305	ST	36	36	103
USGS	01308307	UNNAMED TRIBUTARY TO CARLLS RIVER, NY 308307	ST	36	36	103
USGS	01308310	CARLLS RIVER AT WEST BABYLON NY	ST	36	36	103
USGS	01308320	CARLLS RIVER AT NORTH BABYLON, NY 308320	ST	36	36	103
